4E00	yi1(32747)
4E01	ding1(16)
4E03	qi1(950)
4E07	wan4(1335)
4E08	zhang4(112)
4E09	san1(3030)
4E0A	shang4(12308) shang5(392)
4E0B	xia4(6430) xia5(249)
4E0D	bu4(23305) bu5(555)
4E0E	yu3(962) yu4(10)
4E11	chou3(31)
4E13	zhuan1(602)
4E14	qie3(1051)
4E16	shi4(1238)
4E18	qiu1(58)
4E19	bing3(30)
4E1A	ye4(2095)
4E1B	cong2(69)
4E1C	dong1(1601)
4E1D	si1(186)
4E1F	diu1(144)
4E22	diu1(144)
4E24	liang3(3229)
4E25	yan2(633)
4E27	sang4(22)
4E2A	ge4(11693) ge5(1891) ge3(18)
4E2B	ya1(56)
4E2D	zhong1(4875) zhong4(66)
4E30	feng1(264)
4E32	chuan4(104)
4E34	lin2(220)
4E38	wan2(13)
4E39	dan1(31) dan5(11)
4E3A	wei4(3962) wei2(2433)
4E3B	zhu3(6884)
4E3D	li4(215)
4E3E	ju3(541) ju5(8)
4E43	nai3(27)
4E45	jiu3(467)
4E48	me5(8053)
4E49	yi4(4472)
4E4B	zhi1(2282)
4E4C	wu1(69)
4E4E	hu5(304) hu1(284)
4E4F	fa2(103)
4E50	le4(283) yue4(54)
4E52	ping1(29)
4E53	pang1(29)
4E56	guai1(19)
4E58	cheng2(106)
4E59	yi3(45)
4E5D	jiu3(1453)
4E5F	ye3(7359)
4E60	xi2(836)
4E61	xiang1(433)
4E66	shu1(1446)
4E70	mai3(774)
4E71	luan4(357)
4E73	ru3(24)
4E82	luan4(357)
4E86	le5(30101) liao3(654) liao4(19)
4E88	yu3(40)
4E89	zheng1(1708)
4E8B	shi4(3356) shi5(210)
4E8C	er4(2718)
4E8E	yu2(3483)
4E8F	kui1(71)
4E91	yun2(207)
4E92	hu4(288)
4E94	wu3(1864)
4E95	jing3(147)
4E9A	ya4(26)
4E9B	xie1(3689)
4E9E	ya4(26)
4EA1	wang2(94)
4EA4	jiao1(642)
4EA6	yi4(35)
4EA7	chan3(4099)
4EA9	mu3(107)
4EAB	xiang3(76)
4EAD	ting2(53)
4EAE	liang4(415) liang5(134)
4EB2	qin1(1029) qin5(428)
4EBA	ren2(16866) ren5(280)
4EBF	yi4(195)
4EC0	shen2(4045) shen5(17)
4EC5	jin3(402)
4EC7	chou2(71)
4ECA	jin1(1239)
4ECB	jie4(156)
4ECD	reng2(378)
4ECE	cong2(3708) cong1(25)
4ED3	cang1(47)
4ED4	zi3(132)
4ED6	ta1(16038)
4ED7	zhang4(128)
4ED8	fu4(83) fu5(77)
4ED9	xian5(18) xian1(17)
4EE3	dai4(1881)
4EE4	ling4(453)
4EE5	yi3(6111)
4EEA	yi2(120)
4EEC	men5(14950)
4EF0	yang3(70)
4EF6	jian4(1163)
4EF7	jia4(430)
4EFB	ren4(1235)
4EFD	fen4(147) fen5(31)
4EFF	fang3(273)
4F01	qi3(244)
4F0A	yi1(13)
4F0D	wu5(216)
4F0F	fu2(100)
4F10	fa2(52)
4F11	xiu1(197)
4F17	zhong4(1149)
4F18	you1(287)
4F19	huo3(402) huo5(117)
4F1A	hui4(6866) kuai4(9)
4F1E	san3(57)
4F1F	wei3(575)
4F20	chuan2(704) zhuan4(12)
4F24	shang1(393)
4F2A	wei3(48)
4F2F	bo2(137) bo5(56)
4F30	gu1(67)
4F34	ban4(106)
4F36	ling5(15)
4F38	shen1(307)
4F3A	ci4(24)
4F3C	shi4(599) si4(401)
4F43	dian4(12)
4F46	dan4(2345)
4F4D	wei4(1252)
4F4E	di1(664)
4F4F	zhu4(1793)
4F51	you4(11)
4F53	ti3(1746)
4F55	he2(691)
4F59	yu2(287)
4F5B	fu2(252)
4F5C	zuo4(4832)
4F60	ni3(10944)
4F69	pei4(29)
4F73	jia1(21)
4F7F	shi3(2283)
4F86	lai2(14549)
4F8B	li4(369)
4F8D	shi4(20)
4F9B	gong1(305) gong4(11)
4F9D	yi1(341)
4FA6	zhen1(51)
4FA7	ce4(125)
4FAE	wu3(32)
4FB5	qin1(341)
4FBF	bian4(1235) pian2(58)
4FC3	cu4(140)
4FC4	e2(12)
4FD7	su2(51)
4FD8	fu2(31)
4FDD	bao3(852)
4FE1	xin4(1068)
4FE9	lia3(196)
4FED	jian3(9)
4FEE	xiu1(464)
4FEF	fu3(22)
4FF1	ju4(18)
4FFA	an3(122)
5006	lia3(196)
5009	cang1(47)
500B	ge4(11693) ge5(1891) ge3(18)
500D	bei4(219)
5011	men5(14950)
5012	dao4(530) dao3(365)
5018	tang3(45)
5019	hou5(2060) hou4(300)
501A	yi3(34)
501F	jie4(204)
5021	chang4(55)
5026	juan4(28)
503A	zhai4(36)
503C	zhi2(341)
503E	qing1(175)
5047	jia3(222) jia4(44)
5049	wei3(575)
504E	wei1(16)
504F	pian1(153)
505A	zuo4(2166)
505C	ting2(510)
5065	jian4(142)
5074	ce4(125)
5075	zhen1(51)
5076	ou3(64)
5077	tou1(204)
507D	wei3(48)
507F	chang2(11)
5085	fu5(201)
508D	bang4(47)
5098	san3(57)
5099	bei4(784)
50A8	chu3(25)
50AC	cui1(41)
50B2	ao4(67)
50B3	chuan2(704) zhuan4(12)
50B5	zhai4(36)
50B7	shang1(393)
50BB	sha3(62)
50BE	qing1(175)
50C5	jin3(402)
50CF	xiang4(233)
50DA	liao2(56)
50F1	gu4(25)
50F5	jiang1(34)
50F9	jia4(430)
5100	yi2(120)
5104	yi4(195)
5109	jian3(9)
511F	chang2(11)
512A	you1(287)
5132	chu3(25)
513F	r5(3254) er2(581)
5141	yun3(102)
5143	yuan2(325)
5144	xiong1(97) xiong5(25)
5145	chong1(375)
5148	xian1(1962)
5149	guang1(1636)
514B	ke4(172)
514D	mian3(193)
5152	r5(3254) er2(581)
5154	tu4(100)
515A	dang3(2652)
515C	dou1(43)
5165	ru4(784)
5167	nei4(1434)
5168	quan2(2824)
5169	liang3(3229)
516B	ba1(1123)
516C	gong1(1289)
516D	liu4(1035)
5171	gong4(1298)
5173	guan1(1758)
5174	xing4(499) xing1(164)
5175	bing1(536)
5176	qi2(1458)
5177	ju4(705) ju5(30)
5178	dian3(98)
517B	yang3(430)
517C	jian1(40)
517D	shou4(40)
5185	nei4(1434)
5188	gang1(37)
518A	ce4(21)
518C	ce4(21)
518D	zai4(1697)
5192	mao4(187)
5199	xie3(1171)
519B	jun1(1842)
519C	nong2(1281)
51A4	yuan1(48)
51AC	dong1(272)
51B0	bing1(167)
51B2	chong1(428) chong4(33)
51B3	jue2(1503)
51B5	kuang4(719)
51B6	ye3(61)
51B7	leng3(453)
51BB	dong4(133)
51C0	jing4(152)
51C4	qi1(16)
51C6	zhun3(897)
51C9	liang2(129)
51CD	dong4(133)
51CF	jian3(300)
51D1	cou4(69)
51DD	ning2(138)
51E0	ji3(2523) ji1(216)
51E1	fan2(135)
51E4	feng4(16)
51EB	fu2(12)
51ED	ping2(134)
51F0	huang2(16)
51F3	deng4(87)
51F6	xiong1(78)
51F8	tu1(31)
51F9	ao1(31)
51FA	chu1(6753)
51FB	ji1(644)
51FF	zao2(34)
5200	dao1(284)
5206	fen1(2405) fen4(559) fen5(532)
5207	qie4(998) qie1(70)
520A	kan1(50)
5211	xing2(115)
5212	hua4(438) hua2(68)
5217	lie4(270)
5219	ze2(535)
521A	gang1(873)
521B	chuang4(435) chuang1(13)
521D	chu1(405)
5224	pan4(252)
5225	bie2(2043) bie4(14)
5228	pao2(12)
5229	li4(1593) li5(16)
522B	bie2(2043) bie4(14)
522E	gua1(105)
5230	dao4(10331) dao5(18)
5236	zhi4(1850)
5237	shua1(140)
5239	sha1(17) cha4(14)
523A	ci4(162)
523B	ke4(653)
5242	ji4(79)
5247	ze2(535)
524A	xue1(194) xiao1(33)
524D	qian2(3617)
524E	sha1(17) cha4(14)
5251	jian4(79)
5254	ti1(12)
5256	pou1(24)
525B	gang1(873)
525D	bo1(212)
5265	bo1(212)
5267	ju4(123)
5269	sheng4(199)
526A	jian3(39)
526F	fu4(313)
5272	ge1(128)
5275	chuang4(435) chuang1(13)
527F	jiao3(25)
5287	ju4(123)
5288	pi1(17)
528D	jian4(79)
5291	ji4(79)
529B	li4(2488) li5(97)
529D	quan4(121)
529E	ban4(1187)
529F	gong1(381)
52A0	jia1(1861)
52A1	wu5(473) wu4(445)
52A3	lie4(26)
52A8	dong4(5030)
52A9	zhu4(464)
52AA	nu3(251)
52B1	li4(93)
52B2	jin4(294)
52B3	lao2(856)
52BF	shi4(442) shi5(10)
52C1	jin4(294)
52C3	bo2(54)
52C7	yong3(223)
52C9	mian3(37)
52D2	lei1(13)
52D5	dong4(5030)
52D8	kan1(13)
52D9	wu5(473) wu4(445)
52DD	sheng4(745)
52DE	lao2(856)
52E2	shi4(442) shi5(10)
52E4	qin2(100)
52F5	li4(93)
52F8	quan4(121)
52FB	yun2(34)
52FE	gou1(42)
5300	yun2(34)
5305	bao1(706)
